sale_id,date_id,product_id,customer_id,region_id,quantity,unit_price,cost,revenue
59,20230402,P038,C0101,R03,8,306.14,171.05,2449.12
60,20240102,P019,C0029,R02,4,169.19,131.69,676.76
61,20240330,P007,C0127,R02,2,484.2,305.9,968.4
62,20240303,P035,C0338,R02,8,231.63,118.3,1853.04
63,20240523,P048,C0010,R04,8,211.76,145.97,1694.08
64,20230204,P018,C0106,R03,6,186.22,134.15,1117.32
65,20230725,P016,C0167,R03,8,404.23,243.04,3233.84
66,20230322,P039,C0466,R03,9,158.36,117.81,1425.24
67,20240715,P004,C0257,R04,1,151.83,79.9,151.83
68,20240123,P025,C0295,R01,9,50.96,28.18,458.64
69,20230102,P032,C0277,R03,2,281.99,195.71,563.98
70,20240125,P040,C0065,R03,1,108.18,81.5,108.18
71,20240719,P013,C0271,R01,8,74.22,58.39,593.76
72,20230416,P045,C0388,R04,8,348.35,226.7,2786.8
73,20240421,P017,C0188,R01,4,431.41,265.08,1725.64
74,20241203,P049,C0317,R01,8,57.48,35.39,459.84
75,20240206,P037,C0404,R01,7,255.5,152.31,1788.5
76,20241230,P006,C0138,R01,2,175.67,125.75,351.34
77,20240709,P019,C0343,R04,5,169.19,131.69,845.95
78,20230611,P013,C0105,R04,4,74.22,58.39,296.88
79,20230721,P026,C0034,R01,3,413.09,285.24,1239.27
80,20230927,P014,C0380,R02,1,361.16,243.45,361.16
81,20230928,P031,C0110,R02,5,360.1,199.58,1800.5
82,20240331,P004,C0432,R02,8,151.83,79.9,1214.64
83,20240406,P039,C0033,R02,9,158.36,117.81,1425.24
84,20241227,P008,C0354,R03,7,59.74,43.97,418.18
85,20230909,P025,C0231,R04,1,50.96,28.18,50.96
86,20241202,P013,C0317,R04,1,74.22,58.39,74.22
87,20231023,P032,C0266,R01,1,281.99,195.71,281.99
88,20241225,P038,C0182,R03,2,306.14,171.05,612.28
89,20241220,P038,C0340,R01,1,306.14,171.05,306.14
90,20231204,P028,C0065,R01,4,28.68,21.15,114.72
91,20230222,P030,C0333,R04,9,147.33,94.16,1325.97
92,20230805,P003,C0001,R03,4,468.86,338.03,1875.44
93,20230707,P028,C0133,R02,4,28.68,21.15,114.72
94,20240115,P003,C0080,R04,7,468.86,338.03,3282.02
95,20240507,P045,C0271,R03,9,348.35,226.7,3135.15
96,20230210,P034,C0241,R03,7,466.74,320.55,3267.18
97,20230606,P016,C0028,R04,1,404.23,243.04,404.23
98,20230115,P022,C0223,R04,1,473.23,260.98,473.23
99,20230306,P032,C0023,R01,4,281.99,195.71,1127.96
100,20240604,P038,C0496,R01,4,306.14,171.05,1224.56
101,20231210,P008,C0109,R01,1,59.74,43.97,59.74
102,20230509,P008,C0107,R02,6,59.74,43.97,358.44
103,20241009,P006,C0145,R04,2,175.67,125.75,351.34
104,20240416,P014,C0369,R03,5,361.16,243.45,1805.8
105,20230304,P032,C0354,R04,8,281.99,195.71,2255.92
106,20230519,P035,C0397,R03,3,231.63,118.3,694.89
107,20240513,P010,C0398,R02,9,219.74,149.38,1977.66
108,20240815,P003,C0139,R04,7,468.86,338.03,3282.02
109,20240127,P012,C0284,R03,9,326.31,239.73,2936.79
110,20241105,P049,C0298,R03,1,57.48,35.39,57.48
111,20240223,P031,C0480,R01,5,360.1,199.58,1800.5
112,20231016,P029,C0099,R02,3,362.55,269.17,1087.65
113,20240114,P005,C0317,R04,4,347.75,175.99,1391.0
114,20240504,P025,C0123,R01,4,50.96,28.18,203.84
115,20230819,P041,C0320,R02,7,275.86,159.33,1931.02
116,20230210,P031,C0287,R01,8,360.1,199.58,2880.8
117,20230128,P021,C0081,R04,5,32.41,23.88,162.05
118,20230515,P020,C0495,R03,7,263.35,181.37,1843.45
119,20230720,P039,C0457,R04,3,158.36,117.81,475.08
120,20230202,P022,C0010,R02,3,473.23,260.98,1419.69
121,20230217,P004,C0008,R04,3,151.83,79.9,455.49
122,20240517,P013,C0405,R02,4,74.22,58.39,296.88
123,20240211,P045,C0205,R01,6,348.35,226.7,2090.1
124,20240727,P042,C0315,R02,5,225.71,134.9,1128.55
125,20241228,P050,C0434,R03,8,125.59,75.59,1004.72
126,20230409,P049,C0197,R03,5,57.48,35.39,287.4
127,20241114,P020,C0198,R03,5,263.35,181.37,1316.75
128,20241226,P013,C0030,R01,2,74.22,58.39,148.44
129,20240630,P017,C0479,R02,5,431.41,265.08,2157.05
130,20240904,P036,C0401,R01,7,369.88,186.86,2589.16
131,20240406,P033,C0459,R04,2,63.32,50.52,126.64
132,20241004,P001,C0020,R04,6,497.64,256.53,2985.84
133,20230105,P015,C0048,R04,7,490.49,345.6,3433.43
134,20230806,P013,C0457,R04,5,74.22,58.39,371.1
135,20240517,P017,C0130,R03,9,431.41,265.08,3882.69
136,20240202,P024,C0293,R02,4,452.48,298.46,1809.92
137,20240128,P008,C0385,R03,1,59.74,43.97,59.74
138,20230726,P050,C0132,R02,8,125.59,75.59,1004.72
139,20230115,P027,C0356,R02,8,84.46,49.62,675.68
140,20240707,P045,C0054,R01,7,348.35,226.7,2438.45
141,20240405,P023,C0378,R04,8,80.45,45.34,643.6
142,20241121,P046,C0281,R02,2,32.5,22.65,65.0
143,20240728,P008,C0387,R04,3,59.74,43.97,179.22
144,20230829,P008,C0265,R04,9,59.74,43.97,537.66
145,20240717,P026,C0470,R04,1,413.09,285.24,413.09
146,20230406,P047,C0215,R03,8,175.98,109.93,1407.84
147,20240429,P013,C0460,R04,8,74.22,58.39,593.76
148,20240211,P039,C0458,R02,7,158.36,117.81,1108.52
149,20230819,P037,C0290,R03,5,255.5,152.31,1277.5
150,20241016,P049,C0043,R04,4,57.48,35.39,229.92
151,20230620,P028,C0074,R01,6,28.68,21.15,172.08
152,20240624,P025,C0350,R04,1,50.96,28.18,50.96
153,20230205,P016,C0278,R04,5,404.23,243.04,2021.15
154,20240608,P002,C0326,R03,4,47.04,37.58,188.16
155,20230609,P018,C0242,R02,4,186.22,134.15,744.88
156,20241129,P017,C0130,R04,7,431.41,265.08,3019.87
157,20230831,P030,C0350,R03,9,147.33,94.16,1325.97
158,20230327,P039,C0194,R03,8,158.36,117.81,1266.88
159,20240731,P013,C0032,R02,8,74.22,58.39,593.76
160,20241112,P032,C0106,R03,5,281.99,195.71,1409.95
161,20240710,P050,C0400,R02,6,125.59,75.59,753.54
162,20240727,P029,C0204,R01,2,362.55,269.17,725.1
163,20241007,P046,C0001,R04,3,32.5,22.65,97.5
164,20230128,P030,C0245,R03,5,147.33,94.16,736.65
165,20240911,P018,C0072,R01,2,186.22,134.15,372.44
166,20240709,P013,C0432,R03,3,74.22,58.39,222.66
167,20231206,P043,C0306,R03,4,201.16,114.83,804.64
168,20231127,P021,C0397,R01,6,32.41,23.88,194.46
169,20241001,P030,C0015,R03,5,147.33,94.16,736.65
170,20240520,P021,C0053,R03,4,32.41,23.88,129.64
171,20231214,P048,C0428,R01,2,211.76,145.97,423.52
172,20240417,P017,C0008,R03,5,431.41,265.08,2157.05
173,20230819,P040,C0330,R02,5,108.18,81.5,540.9
174,20230709,P019,C0046,R03,7,169.19,131.69,1184.33
175,20230813,P015,C0325,R04,1,490.49,345.6,490.49
176,20240120,P009,C0114,R03,4,253.9,197.29,1015.6
177,20240112,P010,C0147,R04,5,219.74,149.38,1098.7
178,20231010,P044,C0495,R04,8,339.56,262.31,2716.48
179,20240924,P031,C0166,R03,8,360.1,199.58,2880.8
180,20240919,P023,C0379,R01,1,80.45,45.34,80.45
181,20230916,P030,C0139,R02,5,147.33,94.16,736.65
182,20231225,P033,C0117,R02,1,63.32,50.52,63.32
183,20241210,P009,C0299,R03,1,253.9,197.29,253.9
184,20240331,P047,C0276,R01,2,175.98,109.93,351.96
185,20240215,P001,C0404,R01,2,497.64,256.53,995.28
186,20241010,P044,C0277,R02,9,339.56,262.31,3056.04
187,20231114,P035,C0338,R01,4,231.63,118.3,926.52
188,20241107,P011,C0313,R03,3,169.75,94.4,509.25
189,20230813,P034,C0178,R03,1,466.74,320.55,466.74
190,20230822,P016,C0330,R01,2,404.23,243.04,808.46
191,20241114,P009,C0354,R03,6,253.9,197.29,1523.4
192,20241025,P032,C0154,R04,9,281.99,195.71,2537.91
193,20240109,P015,C0414,R02,5,490.49,345.6,2452.45
194,20241102,P012,C0201,R03,4,326.31,239.73,1305.24
195,20240830,P033,C0366,R01,5,63.32,50.52,316.6
196,20240416,P045,C0115,R02,9,348.35,226.7,3135.15
197,20230821,P014,C0159,R03,7,361.16,243.45,2528.12
198,20241122,P008,C0042,R02,8,59.74,43.97,477.92
199,20230423,P008,C0247,R01,4,59.74,43.97,238.96
200,20240511,P027,C0068,R04,8,84.46,49.62,675.68
201,20240317,P012,C0445,R04,6,326.31,239.73,1957.86
202,20240717,P001,C0445,R03,5,497.64,256.53,2488.2
203,20230925,P043,C0326,R04,7,201.16,114.83,1408.12
204,20240524,P040,C0334,R03,6,108.18,81.5,649.08
205,20240121,P042,C0196,R02,3,225.71,134.9,677.13
206,20240122,P011,C0090,R03,5,169.75,94.4,848.75
207,20230423,P039,C0111,R03,9,158.36,117.81,1425.24
208,20240904,P043,C0368,R03,7,201.16,114.83,1408.12
209,20240916,P031,C0359,R04,4,360.1,199.58,1440.4
210,20230322,P017,C0145,R03,7,431.41,265.08,3019.87
211,20241129,P033,C0275,R01,5,63.32,50.52,316.6
212,20230423,P032,C0179,R03,2,281.99,195.71,563.98
213,20230102,P029,C0241,R02,6,362.55,269.17,2175.3
214,20241003,P021,C0326,R01,7,32.41,23.88,226.87
215,20230808,P021,C0319,R02,8,32.41,23.88,259.28
216,20240719,P040,C0477,R02,6,108.18,81.5,649.08
217,20230813,P023,C0331,R02,8,80.45,45.34,643.6
218,20240120,P006,C0464,R01,7,175.67,125.75,1229.69
219,20240207,P022,C0414,R01,2,473.23,260.98,946.46
220,20240929,P050,C0153,R04,6,125.59,75.59,753.54
221,20230510,P038,C0104,R01,9,306.14,171.05,2755.26
222,20230222,P037,C0075,R03,6,255.5,152.31,1533.0
223,20241114,P045,C0128,R02,4,348.35,226.7,1393.4
224,20241230,P008,C0199,R04,7,59.74,43.97,418.18
225,20241102,P041,C0154,R01,3,275.86,159.33,827.58
226,20241210,P049,C0056,R02,5,57.48,35.39,287.4
227,20240220,P035,C0278,R01,1,231.63,118.3,231.63
228,20230904,P011,C0345,R04,3,169.75,94.4,509.25
229,20240314,P024,C0019,R01,8,452.48,298.46,3619.84
230,20230722,P049,C0159,R01,9,57.48,35.39,517.32
231,20230703,P021,C0026,R02,9,32.41,23.88,291.69
232,20230503,P002,C0426,R03,2,47.04,37.58,94.08
233,20240205,P040,C0169,R01,4,108.18,81.5,432.72
234,20231021,P019,C0484,R04,5,169.19,131.69,845.95
235,20231007,P039,C0023,R01,3,158.36,117.81,475.08
236,20240901,P028,C0047,R01,1,28.68,21.15,28.68
237,20230717,P017,C0013,R03,6,431.41,265.08,2588.46
238,20240525,P006,C0217,R02,2,175.67,125.75,351.34
239,20230524,P019,C0322,R04,9,169.19,131.69,1522.71
240,20240831,P038,C0194,R02,1,306.14,171.05,306.14
241,20230720,P028,C0144,R02,9,28.68,21.15,258.12
242,20230504,P002,C0073,R02,7,47.04,37.58,329.28
243,20230706,P038,C0156,R01,2,306.14,171.05,612.28
244,20231122,P037,C0077,R03,6,255.5,152.31,1533.0
245,20240408,P004,C0419,R01,8,151.83,79.9,1214.64
246,20231215,P022,C0169,R04,2,473.23,260.98,946.46
247,20241021,P026,C0461,R03,5,413.09,285.24,2065.45
248,20240207,P049,C0287,R02,6,57.48,35.39,344.88
249,20231212,P043,C0085,R03,3,201.16,114.83,603.48
250,20240525,P036,C0416,R04,2,369.88,186.86,739.76
251,20230527,P013,C0182,R01,6,74.22,58.39,445.32
252,20230528,P032,C0482,R01,3,281.99,195.71,845.97
253,20241211,P017,C0456,R02,2,431.41,265.08,862.82
254,20240503,P041,C0315,R01,1,275.86,159.33,275.86
255,20241001,P036,C0297,R01,8,369.88,186.86,2959.04
256,20240704,P046,C0112,R04,1,32.5,22.65,32.5
257,20231204,P019,C0450,R03,5,169.19,131.69,845.95
258,20241002,P035,C0230,R01,6,231.63,118.3,1389.78
259,20240417,P046,C0096,R04,3,32.5,22.65,97.5
260,20230531,P040,C0438,R04,7,108.18,81.5,757.26
261,20240219,P028,C0168,R02,2,28.68,21.15,57.36
262,20231025,P001,C0378,R04,7,497.64,256.53,3483.48
263,20240902,P042,C0156,R02,2,225.71,134.9,451.42
264,20230920,P018,C0421,R01,5,186.22,134.15,931.1
265,20230524,P048,C0105,R02,7,211.76,145.97,1482.32
266,20231212,P040,C0193,R04,3,108.18,81.5,324.54
267,20240915,P033,C0489,R03,4,63.32,50.52,253.28
268,20240725,P012,C0330,R03,1,326.31,239.73,326.31
269,20230102,P008,C0439,R01,3,59.74,43.97,179.22
270,20231031,P024,C0132,R01,9,452.48,298.46,4072.32
271,20230911,P016,C0355,R03,5,404.23,243.04,2021.15
272,20241013,P050,C0382,R02,8,125.59,75.59,1004.72
273,20240328,P004,C0138,R01,2,151.83,79.9,303.66
274,20230206,P038,C0431,R04,3,306.14,171.05,918.42
275,20230609,P044,C0331,R01,7,339.56,262.31,2376.92
276,20230109,P027,C0270,R02,4,84.46,49.62,337.84
277,20230821,P009,C0038,R01,9,253.9,197.29,2285.1
278,20230409,P047,C0396,R04,7,175.98,109.93,1231.86
279,20241020,P016,C0045,R04,1,404.23,243.04,404.23
280,20230727,P012,C0401,R04,4,326.31,239.73,1305.24
281,20230511,P031,C0464,R02,6,360.1,199.58,2160.6
282,20240208,P024,C0163,R02,6,452.48,298.46,2714.88
283,20230601,P014,C0450,R04,6,361.16,243.45,2166.96
284,20230223,P045,C0331,R04,5,348.35,226.7,1741.75
285,20230430,P025,C0253,R02,3,50.96,28.18,152.88
286,20241103,P034,C0169,R02,2,466.74,320.55,933.48
287,20240919,P003,C0451,R02,3,468.86,338.03,1406.58
288,20240809,P024,C0285,R03,9,452.48,298.46,4072.32
289,20240916,P042,C0274,R02,3,225.71,134.9,677.13
290,20240224,P009,C0020,R04,3,253.9,197.29,761.7
291,20240226,P026,C0239,R03,1,413.09,285.24,413.09
292,20230414,P020,C0270,R02,2,263.35,181.37,526.7
293,20230911,P040,C0418,R04,3,108.18,81.5,324.54
294,20230815,P010,C0433,R01,2,219.74,149.38,439.48
295,20230422,P019,C0310,R03,8,169.19,131.69,1353.52
296,20240524,P003,C0031,R04,6,468.86,338.03,2813.16
297,20240417,P024,C0314,R01,7,452.48,298.46,3167.36
298,20230409,P005,C0104,R04,1,347.75,175.99,347.75
299,20230602,P003,C0170,R02,6,468.86,338.03,2813.16
300,20231204,P027,C0186,R02,2,84.46,49.62,168.92
301,20241206,P016,C0128,R01,6,404.23,243.04,2425.38
302,20230612,P049,C0210,R02,3,57.48,35.39,172.44
303,20241220,P015,C0414,R04,7,490.49,345.6,3433.43
304,20241111,P035,C0281,R01,3,231.63,118.3,694.89
305,20230610,P012,C0447,R04,9,326.31,239.73,2936.79
306,20240802,P041,C0253,R04,3,275.86,159.33,827.58
307,20240202,P044,C0019,R04,7,339.56,262.31,2376.92
308,20231004,P026,C0200,R02,4,413.09,285.24,1652.36
309,20240518,P047,C0220,R02,8,175.98,109.93,1407.84
310,20240127,P034,C0136,R04,2,466.74,320.55,933.48
311,20230515,P023,C0223,R03,8,80.45,45.34,643.6
312,20230714,P031,C0003,R04,9,360.1,199.58,3240.9
313,20240205,P050,C0451,R04,8,125.59,75.59,1004.72
314,20241001,P020,C0236,R01,6,263.35,181.37,1580.1
315,20230202,P012,C0342,R04,1,326.31,239.73,326.31
316,20241118,P023,C0465,R02,7,80.45,45.34,563.15
317,20240404,P004,C0228,R01,1,151.83,79.9,151.83
318,20240414,P023,C0401,R03,7,80.45,45.34,563.15
319,20240110,P048,C0142,R01,2,211.76,145.97,423.52
320,20230122,P048,C0499,R03,8,211.76,145.97,1694.08
321,20241031,P001,C0009,R01,2,497.64,256.53,995.28
322,20230207,P025,C0190,R01,3,50.96,28.18,152.88
323,20230818,P002,C0350,R03,3,47.04,37.58,141.12
324,20231231,P030,C0405,R02,1,147.33,94.16,147.33
325,20240716,P003,C0460,R02,5,468.86,338.03,2344.3
326,20240313,P021,C0165,R02,5,32.41,23.88,162.05
327,20231010,P025,C0480,R01,5,50.96,28.18,254.8
328,20230127,P020,C0139,R04,9,263.35,181.37,2370.15
329,20230814,P049,C0276,R01,6,57.48,35.39,344.88
330,20231004,P022,C0291,R04,6,473.23,260.98,2839.38
331,20240831,P021,C0053,R04,3,32.41,23.88,97.23
332,20231011,P033,C0175,R02,5,63.32,50.52,316.6
333,20240425,P038,C0110,R04,7,306.14,171.05,2142.98
334,20240328,P015,C0203,R01,3,490.49,345.6,1471.47
335,20241020,P046,C0436,R01,2,32.5,22.65,65.0
336,20240530,P015,C0136,R02,5,490.49,345.6,2452.45
337,20240630,P046,C0004,R03,3,32.5,22.65,97.5
338,20230711,P025,C0155,R01,5,50.96,28.18,254.8
339,20230218,P021,C0172,R04,9,32.41,23.88,291.69
340,20240526,P024,C0424,R01,1,452.48,298.46,452.48
341,20230117,P005,C0358,R01,4,347.75,175.99,1391.0
342,20230621,P006,C0047,R01,5,175.67,125.75,878.35
343,20230808,P049,C0094,R03,2,57.48,35.39,114.96
344,20230607,P043,C0428,R04,2,201.16,114.83,402.32
345,20240421,P048,C0048,R02,1,211.76,145.97,211.76
346,20230215,P044,C0240,R01,8,339.56,262.31,2716.48
347,20240108,P047,C0347,R04,2,175.98,109.93,351.96
348,20240601,P023,C0213,R04,3,80.45,45.34,241.35
349,20230409,P004,C0436,R02,2,151.83,79.9,303.66
350,20230206,P027,C0340,R01,4,84.46,49.62,337.84
351,20231007,P018,C0324,R03,1,186.22,134.15,186.22
352,20231215,P021,C0139,R04,3,32.41,23.88,97.23
353,20240511,P028,C0205,R02,5,28.68,21.15,143.4
354,20231029,P035,C0381,R03,1,231.63,118.3,231.63
355,20230630,P022,C0073,R04,4,473.23,260.98,1892.92
356,20240829,P040,C0004,R01,6,108.18,81.5,649.08
357,20230409,P023,C0076,R04,4,80.45,45.34,321.8
358,20241130,P003,C0329,R03,7,468.86,338.03,3282.02
359,20230426,P040,C0077,R03,7,108.18,81.5,757.26
360,20230710,P050,C0304,R01,6,125.59,75.59,753.54
361,20230910,P010,C0256,R01,9,219.74,149.38,1977.66
362,20230610,P025,C0410,R02,2,50.96,28.18,101.92
363,20230913,P049,C0102,R01,8,57.48,35.39,459.84
364,20231119,P008,C0106,R02,8,59.74,43.97,477.92
365,20230508,P011,C0333,R03,4,169.75,94.4,679.0
366,20230118,P005,C0039,R03,6,347.75,175.99,2086.5
367,20240719,P045,C0476,R04,6,348.35,226.7,2090.1
368,20240723,P037,C0314,R04,5,255.5,152.31,1277.5
369,20231119,P045,C0275,R02,1,348.35,226.7,348.35
370,20241116,P038,C0088,R01,3,306.14,171.05,918.42
371,20240917,P029,C0211,R01,7,362.55,269.17,2537.85
372,20231015,P005,C0369,R04,8,347.75,175.99,2782.0
373,20241024,P009,C0077,R03,2,253.9,197.29,507.8
374,20240930,P048,C0077,R02,3,211.76,145.97,635.28
375,20230604,P002,C0442,R03,4,47.04,37.58,188.16
376,20240504,P001,C0028,R03,5,497.64,256.53,2488.2
377,20240121,P040,C0245,R01,3,108.18,81.5,324.54
378,20230414,P030,C0066,R02,5,147.33,94.16,736.65
379,20240128,P011,C0266,R03,8,169.75,94.4,1358.0
380,20230903,P028,C0382,R04,8,28.68,21.15,229.44
381,20230625,P044,C0470,R04,2,339.56,262.31,679.12
382,20230208,P012,C0205,R01,6,326.31,239.73,1957.86
383,20240421,P039,C0058,R04,4,158.36,117.81,633.44
384,20241112,P026,C0201,R04,9,413.09,285.24,3717.81
385,20240621,P013,C0225,R03,2,74.22,58.39,148.44
386,20240212,P008,C0142,R04,8,59.74,43.97,477.92
387,20240608,P028,C0381,R04,1,28.68,21.15,28.68
388,20240520,P030,C0368,R03,6,147.33,94.16,883.98
389,20230205,P009,C0084,R01,1,253.9,197.29,253.9
390,20241115,P039,C0143,R01,2,158.36,117.81,316.72
391,20230120,P031,C0352,R02,3,360.1,199.58,1080.3
392,20231117,P021,C0033,R04,9,32.41,23.88,291.69
393,20240526,P047,C0401,R03,5,175.98,109.93,879.9
394,20240204,P034,C0152,R02,2,466.74,320.55,933.48
395,20241015,P031,C0158,R01,5,360.1,199.58,1800.5
396,20240415,P025,C0446,R01,5,50.96,28.18,254.8
397,20230523,P012,C0141,R03,1,326.31,239.73,326.31
398,20230402,P001,C0446,R02,3,497.64,256.53,1492.92
399,20231220,P022,C0251,R02,5,473.23,260.98,2366.15
400,20241227,P040,C0303,R03,9,108.18,81.5,973.62
401,20230220,P037,C0112,R03,1,255.5,152.31,255.5
402,20241026,P047,C0144,R02,8,175.98,109.93,1407.84
403,20241128,P001,C0450,R01,1,497.64,256.53,497.64
404,20240728,P001,C0209,R04,9,497.64,256.53,4478.76
405,20230709,P042,C0224,R01,6,225.71,134.9,1354.26
406,20230505,P042,C0043,R03,1,225.71,134.9,225.71
407,20230530,P021,C0264,R02,8,32.41,23.88,259.28
408,20231110,P015,C0244,R02,5,490.49,345.6,2452.45
409,20240723,P017,C0003,R04,7,431.41,265.08,3019.87
410,20231208,P022,C0125,R02,7,473.23,260.98,3312.61
411,20231101,P038,C0268,R04,7,306.14,171.05,2142.98
412,20241122,P035,C0084,R01,6,231.63,118.3,1389.78
413,20241112,P045,C0016,R01,8,348.35,226.7,2786.8
414,20230223,P016,C0334,R02,9,404.23,243.04,3638.07
415,20240319,P008,C0464,R02,2,59.74,43.97,119.48
416,20240904,P047,C0059,R03,7,175.98,109.93,1231.86
417,20230921,P017,C0177,R03,2,431.41,265.08,862.82
418,20230222,P017,C0063,R02,6,431.41,265.08,2588.46
419,20240725,P026,C0446,R02,2,413.09,285.24,826.18
420,20240911,P013,C0491,R01,6,74.22,58.39,445.32
421,20230105,P017,C0049,R02,2,431.41,265.08,862.82
422,20230413,P038,C0307,R03,1,306.14,171.05,306.14
423,20230715,P017,C0246,R01,7,431.41,265.08,3019.87
424,20231216,P048,C0289,R04,3,211.76,145.97,635.28
425,20230216,P014,C0286,R03,4,361.16,243.45,1444.64
426,20241017,P045,C0443,R03,6,348.35,226.7,2090.1
427,20230926,P006,C0332,R01,5,175.67,125.75,878.35
428,20240105,P035,C0015,R04,4,231.63,118.3,926.52
429,20240927,P046,C0338,R03,9,32.5,22.65,292.5
430,20230416,P014,C0255,R02,6,361.16,243.45,2166.96
431,20241031,P047,C0092,R03,6,175.98,109.93,1055.88
432,20241020,P008,C0279,R01,2,59.74,43.97,119.48
433,20241018,P015,C0206,R01,6,490.49,345.6,2942.94
434,20230430,P027,C0094,R01,7,84.46,49.62,591.22
435,20240826,P013,C0225,R03,8,74.22,58.39,593.76
436,20230227,P049,C0301,R04,8,57.48,35.39,459.84
437,20231212,P031,C0318,R02,9,360.1,199.58,3240.9
438,20240418,P035,C0463,R01,3,231.63,118.3,694.89
439,20230427,P006,C0199,R04,7,175.67,125.75,1229.69
440,20230507,P005,C0271,R02,7,347.75,175.99,2434.25
441,20240128,P022,C0500,R01,1,473.23,260.98,473.23
442,20241002,P049,C0234,R02,8,57.48,35.39,459.84
443,20230227,P023,C0046,R02,4,80.45,45.34,321.8
444,20240925,P025,C0064,R04,5,50.96,28.18,254.8
445,20240527,P034,C0230,R02,6,466.74,320.55,2800.44
446,20230406,P026,C0430,R01,3,413.09,285.24,1239.27
447,20240929,P047,C0440,R04,5,175.98,109.93,879.9
448,20230428,P005,C0249,R03,5,347.75,175.99,1738.75
449,20240713,P026,C0246,R03,1,413.09,285.24,413.09
450,20240823,P020,C0428,R04,3,263.35,181.37,790.05
451,20240502,P006,C0075,R03,3,175.67,125.75,527.01
452,20230825,P006,C0157,R02,1,175.67,125.75,175.67
453,20230929,P050,C0223,R01,7,125.59,75.59,879.13
454,20230708,P018,C0190,R02,1,186.22,134.15,186.22
455,20241204,P004,C0473,R04,7,151.83,79.9,1062.81
456,20240322,P017,C0052,R01,4,431.41,265.08,1725.64
457,20240803,P014,C0438,R04,9,361.16,243.45,3250.44
